"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"CON","Michael Fabricant
","43","-1","-1","-1","-1","-1","1","1","-1"
"CON","Sir Michael Fallon
","46","-1","-1","-1","0","-1","-1","1","1"
"LAB","Paul Farrelly
","38","1","1","1","1","1","-1","-1","-1"
"OTH","Tim Farron
","53","0","1","0","0","1","-1","-1","0"
"SNP","Marion Fellows
","62","0","1","0","0","1","-1","-1","-1"
"OTH","Frank Field
","48","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Mark Field
","72","1","0","-1","-1","1","-1","1","-1"
"LAB","Jim Fitzpatrick
","66","1","-1","1","-1","0","-1","-1","-1"
"LAB","Colleen Fletcher
","42","1","1","1","1","0","-1","-1","0"
"LAB","Caroline Flint
","31","0","-1","1","-1","-1","-1","-1","-1"
"CON","Vicky Ford
","49","1","-1","-1","1","-1","-1","-1","0"
"CON","Kevin Foster
","37","-1","-1","-1","-1","-1","1","-1","1"
"LAB","Yvonne Fovargue
","35","1","-1","1","0","0","-1","0","0"
"LAB","Vicky Foxcroft
","76","1","1","1","1","1","-1","-1","0"
"CON","Mark Francois
","32","-1","-1","-1","-1","-1","1","1","-1"
"CON","Lucy Frazer
","55","0","-1","-1","-1","-1","-1","0","-1"
"CON","George Freeman
","39","1","0","-1","1","-1","0","-1","1"
"CON","Mike Freer
","69","-1","-1","-1","-1","1","-1","-1","-1"
"LAB","James Frith
","46","1","1","1","1","1","-1","-1","0"
"LAB","Gill Furniss
","40","1","1","1","1","0","-1","-1","0"
"CON","Marcus Fysh
","40","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Hugh Gaffney
","61","1","1","1","1","1","-1","-1","0"
"CON","Sir Roger Gale
","35","-1","-1","-1","-1","-1","-1","-1","-1"
"OTH","Mike Gapes
","57","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Barry Gardiner
","57","1","1","1","0","0","-1","-1","0"
